epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,526.055,1.38829,2.78031,1.49274,0.43191,0.36056,0.3386,0.15768,1.79749,2.44925,1.76523,0.000236558,0.000236558,0.000236558
2,1038.57,1.28768,1.86344,1.4403,0.51741,0.37397,0.37804,0.15562,2.09802,2.3257,2.00644,0.000451067,0.000451067,0.000451067
3,1550.57,1.25953,1.68306,1.40634,0.59906,0.46697,0.49898,0.22152,1.85867,1.98407,1.81952,0.000642014,0.000642014,0.000642014
4,2063.65,1.24892,1.59487,1.39061,0.61852,0.51122,0.54522,0.26311,1.75017,1.88407,1.72822,0.000607971,0.000607971,0.000607971
5,2693.53,1.2074,1.51313,1.36372,0.67289,0.51613,0.57006,0.24468,1.88254,1.88749,1.79792,0.000572628,0.000572628,0.000572628
6,3316.74,1.1729,1.4329,1.32991,0.60887,0.51272,0.53791,0.22322,1.88969,1.79847,1.82535,0.000537285,0.000537285,0.000537285
7,3959.01,1.1587,1.37064,1.31666,0.74433,0.53011,0.59747,0.28831,1.75062,1.59624,1.69525,0.000501942,0.000501942,0.000501942
8,4591.73,1.14383,1.33687,1.30621,0.69735,0.53914,0.59856,0.27012,1.81047,1.61678,1.75173,0.000466599,0.000466599,0.000466599
9,5233.51,1.10927,1.27542,1.28669,0.75473,0.54058,0.61591,0.29838,1.76456,1.58431,1.69635,0.000431256,0.000431256,0.000431256
10,5868.94,1.11134,1.25272,1.28611,0.76307,0.59801,0.65716,0.28328,1.91249,1.50806,1.77689,0.000395913,0.000395913,0.000395913
11,6470.36,1.14009,1.19733,1.30854,0.82161,0.61506,0.68058,0.3273,1.70395,1.38533,1.65436,0.00036057,0.00036057,0.00036057
12,7105.55,1.11628,1.11326,1.28377,0.81309,0.60922,0.67866,0.33855,1.67021,1.32895,1.63174,0.000325227,0.000325227,0.000325227
13,7664.16,1.09877,1.0782,1.27513,0.81773,0.59311,0.67681,0.36131,1.57678,1.28506,1.55179,0.000289884,0.000289884,0.000289884
14,8190.98,1.07626,1.0427,1.25144,0.81751,0.62685,0.69463,0.35943,1.59974,1.26495,1.56629,0.000254541,0.000254541,0.000254541
15,8721.1,1.0528,1.00137,1.24335,0.80352,0.64516,0.714,0.38505,1.53746,1.19615,1.54346,0.000219198,0.000219198,0.000219198
16,9224.65,1.03951,0.96759,1.22507,0.83589,0.65522,0.72318,0.39128,1.52893,1.15192,1.52072,0.000183855,0.000183855,0.000183855
17,9759.74,1.02481,0.95327,1.21853,0.81874,0.65228,0.72073,0.39097,1.50707,1.14302,1.50401,0.000148512,0.000148512,0.000148512
18,10292.2,1.01094,0.91293,1.20347,0.84551,0.66616,0.73533,0.40773,1.49072,1.11234,1.47798,0.000113169,0.000113169,0.000113169
19,10812.8,0.99318,0.89329,1.19471,0.83652,0.66302,0.74548,0.40803,1.5191,1.07536,1.50834,7.7826e-05,7.7826e-05,7.7826e-05
20,11327.5,0.97756,0.87878,1.18471,0.83063,0.66617,0.7379,0.4109,1.48517,1.06364,1.47887,4.2483e-05,4.2483e-05,4.2483e-05
